BCH 	 USD 	 Coinbase
BCH 	 BTC 	 Coinbase
BCH 	 GBP 	 Coinbase
BCH 	 EUR 	 Coinbase
ETH 	 USD 	 Coinbase
ETH 	 BTC 	 Coinbase
ETH 	 EUR 	 Coinbase
ETH 	 GBP 	 Coinbase
LTC 	 GBP 	 Coinbase
LTC 	 EUR 	 Coinbase
LTC 	 BTC 	 Coinbase
LTC 	 USD 	 Coinbase
BTC 	 GBP 	 Coinbase
BTC 	 CAD 	 Coinbase
BTC 	 USD 	 Coinbase
BTC 	 EUR 	 Coinbase
ETC 	 BTC 	 Coinbase
ETC 	 EUR 	 Coinbase
ETC 	 GBP 	 Coinbase
ETC 	 USD 	 Coinbase
POA 	 ETH 	 Binance
POA 	 BNB 	 Binance
POA 	 BTC 	 Binance
STRAT 	 BTC 	 Binance
STRAT 	 ETH 	 Binance
PHX 	 ETH 	 Binance
PHX 	 BNB 	 Binance
PHX 	 BTC 	 Binance
POLY* 	 BTC 	 Binance
POLY* 	 BNB 	 Binance
FUN 	 BTC 	 Binance
FUN 	 ETH 	 Binance
GTO 	 BTC 	 Binance
GTO 	 ETH 	 Binance
GTO 	 BNB 	 Binance
IOTX 	 BTC 	 Binance
IOTX 	 ETH 	 Binance
NEBL 	 BTC 	 Binance
NEBL 	 BNB 	 Binance
NEBL 	 ETH 	 Binance
NCASH 	 BTC 	 Binance
NCASH 	 BNB 	 Binance
NCASH 	 ETH 	 Binance
BCH 	 BTC 	 Binance
BCH 	 ETH 	 Binance
BCH 	 BNB 	 Binance
BCH 	 USDT 	 Binance
ADA 	 ETH 	 Binance
ADA 	 BTC 	 Binance
ADA 	 BNB 	 Binance
ADA 	 USDT 	 Binance
NAS 	 ETH 	 Binance
NAS 	 BNB 	 Binance
NAS 	 BTC 	 Binance
BTS 	 ETH 	 Binance
BTS 	 BNB 	 Binance
BTS 	 BTC 	 Binance
LSK 	 BTC 	 Binance
LSK 	 ETH 	 Binance
LSK 	 BNB 	 Binance
MCO 	 BNB 	 Binance
MCO 	 ETH 	 Binance
MCO 	 BTC 	 Binance
TRX 	 BTC 	 Binance
TRX 	 ETH 	 Binance
TRX 	 USDT 	 Binance
DASH 	 BTC 	 Binance
DASH 	 ETH 	 Binance
APPC 	 BTC 	 Binance
APPC 	 ETH 	 Binance
APPC 	 BNB 	 Binance
AION 	 ETH 	 Binance
AION 	 BTC 	 Binance
AION 	 BNB 	 Binance
GVT 	 ETH 	 Binance
GVT 	 BTC 	 Binance
EOS 	 BNB 	 Binance
EOS 	 BTC 	 Binance
EOS 	 ETH 	 Binance
EOS 	 USDT 	 Binance
LLT 	 BTC 	 Binance
XRP 	 ETH 	 Binance
XRP 	 BTC 	 Binance
XRP 	 BNB 	 Binance
XRP 	 USDT 	 Binance
STEEM 	 BTC 	 Binance
STEEM 	 BNB 	 Binance
STEEM 	 ETH 	 Binance
AGI 	 BTC 	 Binance
AGI 	 ETH 	 Binance
AGI 	 BNB 	 Binance
TUSD 	 BTC 	 Binance
TUSD 	 ETH 	 Binance
TUSD 	 BNB 	 Binance
TUSD 	 USDT 	 Binance
ZRX 	 BTC 	 Binance
ZRX 	 ETH 	 Binance
GXS 	 BTC 	 Binance
GXS 	 ETH 	 Binance
LINK 	 BTC 	 Binance
LINK 	 ETH 	 Binance
CDT 	 BTC 	 Binance
CDT 	 ETH 	 Binance
FUEL 	 ETH 	 Binance
FUEL 	 BTC 	 Binance
ETC 	 BNB 	 Binance
ETC 	 USDT 	 Binance
ETC 	 BTC 	 Binance
ETC 	 ETH 	 Binance
IOT 	 BNB 	 Binance
IOT 	 BTC 	 Binance
IOT 	 ETH 	 Binance
IOT 	 USDT 	 Binance
NXS 	 BNB 	 Binance
NXS 	 ETH 	 Binance
NXS 	 BTC 	 Binance
WPR 	 BTC 	 Binance
WPR 	 ETH 	 Binance
DGD 	 ETH 	 Binance
DGD 	 BTC 	 Binance
MFT 	 ETH 	 Binance
MFT 	 BTC 	 Binance
MFT 	 BNB 	 Binance
SYS 	 BTC 	 Binance
SYS 	 BNB 	 Binance
SYS 	 ETH 	 Binance
WABI 	 BNB 	 Binance
WABI 	 BTC 	 Binance
WABI 	 ETH 	 Binance
ENG 	 BTC 	 Binance
ENG 	 ETH 	 Binance
POWR 	 BTC 	 Binance
POWR 	 ETH 	 Binance
POWR 	 BNB 	 Binance
BAT 	 ETH 	 Binance
BAT 	 BTC 	 Binance
BAT 	 BNB 	 Binance
KEY 	 BTC 	 Binance
KEY 	 ETH 	 Binance
ELF 	 BTC 	 Binance
ELF 	 ETH 	 Binance
XZC 	 ETH 	 Binance
XZC 	 BNB 	 Binance
XZC 	 BTC 	 Binance
DNT 	 ETH 	 Binance
DNT 	 BTC 	 Binance
DLT 	 BNB 	 Binance
DLT 	 ETH 	 Binance
DLT 	 BTC 	 Binance
MOD 	 BTC 	 Binance
MOD 	 ETH 	 Binance
ARDR 	 ETH 	 Binance
ARDR 	 BTC 	 Binance
ARDR 	 BNB 	 Binance
MTL 	 BTC 	 Binance
MTL 	 ETH 	 Binance
GNT 	 BNB 	 Binance
GNT 	 BTC 	 Binance
GNT 	 ETH 	 Binance
QTUM 	 ETH 	 Binance
QTUM 	 BNB 	 Binance
QTUM 	 BTC 	 Binance
QTUM 	 USDT 	 Binance
ONT 	 USDT 	 Binance
ONT 	 BTC 	 Binance
ONT 	 ETH 	 Binance
ONT 	 BNB 	 Binance
